,textblob_polarity,textblob_polarity,textblob_subjectivity,textblob_subjectivity,nltk_si_compound,nltk_si_compound,nltk_si_pos,nltk_si_neg,nltk_si_neu,Complaint
2015-06-06,0.0286,,0.3713,,0.4404,,0.048,0.039,0.913,1
2015-06-07,-0.0312,,0.3438,,-0.5994,,0.043,0.107,0.85,1
2015-06-08,0.0211,0.0526,0.2583,0.0495,-0.2536,0.9547,0.0695,0.084,0.8465,2
2015-06-09,-0.0909,0.0129,0.2523,0.2153,-0.5746,0.5264,0.028,0.068,0.9045,2
2015-06-10,0.0421,0.0972,0.4531,0.0971,0.0377,1.0275,0.071,0.111,0.8178,4
2015-06-11,0.0666,0.1565,0.3905,0.0938,-0.0176,0.7605,0.0353,0.057,0.9077,3
2015-06-12,-0.1664,0.3127,0.4644,0.0681,-0.8768,0.0202,0.0335,0.1405,0.826,2
2015-06-13,-0.0429,,0.2929,,-0.9325,,0.075,0.139,0.786,1
2015-06-14,0.0111,,0.3333,,-0.9591,,0.011,0.129,0.86,1
2015-06-15,-0.0249,0.1129,0.3751,0.0408,-0.9714,0.0013,0.0355,0.094,0.8705,2
2015-06-16,-0.1397,,0.5206,,-0.9715,,0.075,0.13,0.795,1
2015-06-17,0.0245,0.0333,0.3993,0.0675,-0.3433,1.0181,0.053,0.1503,0.797,3
2015-06-18,-0.0023,0.0686,0.3475,0.171,-0.443,0.8831,0.0695,0.1062,0.8245,4
2015-06-19,0.1153,0.1987,0.2715,0.2224,0.291,0.7054,0.0553,0.0872,0.8575,6
2015-06-20,0.0713,,0.3935,,0.8861,,0.056,0.015,0.929,1
2015-06-22,0.0583,,0.2,,-0.34,,0.059,0.108,0.833,1
2015-06-23,0.0061,0.0086,0.1591,0.225,-0.0787,0.9982,0.049,0.0755,0.8755,2
2015-06-24,-0.0039,0.1646,0.3522,0.1934,-0.4146,0.8452,0.0602,0.0902,0.8498,6
2015-06-25,0.0295,0.1419,0.4158,0.1092,-0.1684,0.6688,0.0716,0.0854,0.8434,5
2015-06-26,-0.0568,0.4579,0.4545,0.2608,-0.2301,0.3665,0.0233,0.0387,0.938,3
2015-06-27,-0.08,,0.48,,-0.8508,,0.056,0.129,0.815,1
2015-06-28,0.0373,0.1148,0.3981,0.007,-0.4577,0.6093,0.0387,0.1047,0.8567,3
2015-06-29,-0.1945,0.2773,0.4539,0.0686,-0.6826,0.2787,0.045,0.133,0.822,3
2015-06-30,-0.0179,,0.4449,,-0.8753,,0.032,0.12,0.848,1
2015-07-01,-0.0322,0.036,0.2968,0.137,-0.1965,0.6101,0.048,0.07,0.8823,3
2015-07-02,-0.0921,0.0164,0.5656,0.0814,-0.9315,0.0788,0.0655,0.104,0.8305,2
2015-07-03,0.0529,0.0794,0.3441,0.1287,-0.2429,0.7549,0.08,0.088,0.8323,3
2015-07-04,-0.0921,,0.4259,,-0.9667,,0.045,0.071,0.884,1
2015-07-05,-0.0344,,0.2681,,0.7935,,0.056,0.031,0.913,1
2015-07-06,0.0103,0.0456,0.3369,0.0067,0.0841,1.2451,0.0945,0.0805,0.825,2
2015-07-07,-0.0395,0.1327,0.4775,0.086,-0.237,1.018,0.06,0.1275,0.8125,2
2015-07-08,0.1177,0.1261,0.4564,0.0494,-0.6106,0.0858,0.029,0.0635,0.907,2
2015-07-09,-0.026,0.056,0.3935,0.1007,-0.8268,0.2024,0.0518,0.1532,0.7948,4
2015-07-10,0.0781,0.0168,0.499,0.043,0.8965,0.056,0.0885,0.022,0.8895,2
2015-07-11,-0.0161,0.099,0.184,0.2214,-0.34,0.5858,0.0617,0.0913,0.8467,3
2015-07-13,0.0524,0.2155,0.406,0.0792,0.8614,0.0763,0.114,0.05,0.8355,2
2015-07-14,-0.125,,0.375,,-0.3447,,0.0,0.053,0.947,1
2015-07-15,0.0323,0.0184,0.3242,0.0737,0.3821,0.9926,0.108,0.075,0.8173,3
2015-07-16,0.0575,,0.3653,,-0.34,,0.021,0.028,0.951,1
2015-07-17,-0.0876,0.1223,0.3279,0.1979,0.0695,0.9259,0.0973,0.0967,0.8063,3
2015-07-18,0.0373,0.0381,0.4097,0.0199,-0.6208,0.4593,0.0175,0.047,0.9355,2
2015-07-19,0.1417,0.0024,0.2892,0.119,-0.8254,0.0759,0.0305,0.1045,0.8655,2
2015-07-20,-0.0402,0.0098,0.3456,0.1057,-0.6434,0.1216,0.0275,0.0525,0.92,2
2015-07-21,-0.0017,0.0392,0.3409,0.088,-0.745,0.0407,0.0535,0.0685,0.878,2
2015-07-22,0.0281,0.0315,0.3719,0.1073,-0.2676,0.4514,0.031,0.0612,0.9078,4
2015-07-23,-0.0153,0.0674,0.3512,0.1933,-0.5203,0.4645,0.0488,0.092,0.8595,4
2015-07-24,-0.1625,,0.2125,,-0.0258,,0.103,0.125,0.772,1
2015-07-25,-0.03,,0.431,,-0.9516,,0.03,0.119,0.851,1
2015-07-26,-0.0073,,0.3559,,0.6729,,0.097,0.086,0.817,1
2015-07-27,-0.0843,0.2049,0.3648,0.0916,-0.8834,0.012,0.0065,0.0895,0.904,2
2015-07-28,0.0293,0.2417,0.5056,0.1495,0.0542,0.7955,0.0595,0.0482,0.8928,4
2015-07-29,0.063,0.0212,0.2869,0.0072,-0.9017,0.0578,0.024,0.0715,0.9045,2
2015-07-30,-0.0456,0.1707,0.4164,0.159,-0.2146,0.5379,0.0412,0.0545,0.9038,4
2015-07-31,0.0494,0.0795,0.3034,0.179,-0.4498,0.2448,0.0543,0.0697,0.876,3
2015-08-03,0.0583,0.1828,0.3588,0.0587,-0.2962,0.5834,0.0468,0.0665,0.8865,4
2015-08-04,0.0453,0.097,0.3459,0.0832,-0.0529,0.9498,0.0704,0.0742,0.8554,5
2015-08-05,-0.1045,0.0886,0.4058,0.0965,-0.0115,0.958,0.0613,0.0623,0.876,3
2015-08-06,-0.0621,0.2051,0.3738,0.12,-0.6878,0.4192,0.046,0.1377,0.8162,4
2015-08-07,0.0208,0.1581,0.3562,0.094,-0.3567,0.9529,0.0887,0.1023,0.809,3
2015-08-08,0.0447,0.0628,0.1936,0.2702,-0.3541,0.3902,0.0406,0.066,0.8934,5
2015-08-09,0.0005,,0.3971,,0.4867,,0.076,0.046,0.878,1
2015-08-10,0.0346,0.0478,0.3823,0.1024,-0.2456,0.8979,0.0634,0.0836,0.853,5
2015-08-11,-0.0858,0.025,0.3216,0.0621,-0.7033,0.2748,0.0377,0.1133,0.849,3
2015-08-12,0.0,,0.0,,-0.2263,,0.175,0.168,0.657,1
2015-08-13,-0.0584,0.053,0.375,0.1906,-0.0035,1.2864,0.0915,0.0555,0.853,2
2015-08-14,0.009,0.0409,0.5407,0.1904,-0.9064,0.0153,0.051,0.0925,0.856,2
2015-08-17,-0.01,,0.32,,0.886,,0.092,0.054,0.854,1
2015-08-18,0.1307,,0.3731,,-0.7783,,0.0,0.109,0.891,1
2015-08-19,-0.0618,0.078,0.3636,0.3264,-0.5776,0.5053,0.0127,0.05,0.9373,3
2015-08-20,0.0106,0.035,0.4499,0.062,-0.3175,0.5256,0.0578,0.09,0.8518,4
2015-08-21,-0.0312,0.0442,0.0492,0.0696,-0.1012,0.143,0.0095,0.018,0.973,2
2015-08-22,0.0442,,0.354,,-0.8243,,0.041,0.065,0.894,1
2015-08-24,0.1134,0.0536,0.4736,0.064,0.2144,0.7227,0.051,0.054,0.895,2
2015-08-25,0.0417,0.0516,0.4723,0.1052,0.1238,0.9925,0.0837,0.079,0.8378,4
2015-08-26,0.0725,,0.5725,,0.6808,,0.027,0.006,0.966,1
2015-08-28,0.0213,0.044,0.3443,0.0569,0.0418,1.0877,0.044,0.079,0.877,2
2015-08-29,-0.0161,,0.4755,,-0.9612,,0.011,0.093,0.896,1
2015-08-31,0.1077,,0.4638,,0.93,,0.05,0.033,0.917,1
2015-09-01,-0.0607,0.1421,0.4024,0.0803,-0.1181,0.5882,0.034,0.0532,0.9128,5
2015-09-03,0.0667,0.1188,0.4857,0.3091,-0.6182,0.2727,0.0297,0.0833,0.8867,3
2015-09-05,-0.15,,0.2333,,-0.4767,,0.0,0.076,0.924,1
2015-09-09,-0.0029,,0.5471,,-0.296,,0.0,0.034,0.966,1
2015-09-10,0.0082,0.1097,0.3197,0.2644,0.2814,1.0633,0.0973,0.0713,0.8313,3
2015-09-11,-0.1338,,0.3351,,0.6213,,0.12,0.097,0.783,1
2015-09-12,-0.0282,0.0753,0.479,0.0731,-0.9767,0.0081,0.0447,0.152,0.8033,3
2015-09-14,0.0463,0.0891,0.4101,0.026,0.0174,1.3446,0.076,0.084,0.84,2
2015-09-15,0.0121,0.1244,0.3437,0.1416,-0.1006,0.8047,0.0528,0.0836,0.864,5
2015-09-16,0.174,0.1885,0.3755,0.1095,0.2411,0.7434,0.058,0.037,0.9046,5
2015-09-17,0.0126,0.0229,0.3514,0.0907,-0.9233,0.047,0.0605,0.0895,0.8495,2
2015-09-18,0.035,0.0237,0.4252,0.0707,0.8378,0.0573,0.1085,0.0925,0.799,2
2015-09-19,-0.25,,0.4,,-0.1926,,0.046,0.057,0.896,1
2015-09-20,-0.0617,0.1357,0.5311,0.0995,-0.437,0.6896,0.0478,0.0912,0.861,4
2015-09-22,-0.2367,,0.61,,-0.4939,,0.074,0.102,0.825,1
2015-09-23,-0.1103,0.1766,0.3497,0.0498,-0.6976,0.4496,0.0865,0.1588,0.755,4
2015-09-24,0.054,0.049,0.3465,0.0633,-0.2267,0.6099,0.0253,0.049,0.9257,3
2015-09-25,0.0471,0.0233,0.3355,0.0251,-0.6653,0.292,0.043,0.0645,0.893,2
2015-09-28,0.0303,0.032,0.3683,0.0387,-0.046,1.2425,0.053,0.091,0.856,2
2015-09-29,0.0982,,0.5048,,0.8573,,0.121,0.012,0.867,1
2015-09-30,-0.0131,0.0183,0.4113,0.0314,-0.317,0.6873,0.043,0.0767,0.8807,3
2015-10-01,0.1333,0.0538,0.3865,0.1762,0.5774,0.0496,0.061,0.041,0.898,2
2015-10-02,-0.039,0.1195,0.3942,0.1571,-0.0824,0.6457,0.0596,0.061,0.8796,5
2015-10-04,-0.0773,,0.399,,-0.9688,,0.012,0.106,0.882,1
2015-10-05,0.0495,0.0908,0.4055,0.1749,-0.0233,1.1183,0.0885,0.09,0.8218,4
2015-10-06,0.0662,,0.44,,0.5644,,0.062,0.038,0.9,1
2015-10-07,0.0281,0.0211,0.4919,0.0493,-0.8294,0.2075,0.0325,0.0895,0.878,2
2015-10-08,0.0649,0.1267,0.3438,0.1003,-0.326,0.6667,0.0512,0.0705,0.8785,4
2015-10-09,0.2917,,0.5917,,0.128,,0.048,0.023,0.929,1
2015-10-10,-0.04,0.1037,0.4317,0.0966,-0.4884,0.2721,0.0,0.058,0.942,2
2015-10-12,-0.1987,,0.4,,-0.9648,,0.027,0.13,0.843,1
2015-10-13,0.05,,0.225,,-0.2023,,0.0,0.024,0.976,1
2015-10-14,0.0088,0.1337,0.4354,0.1107,0.2248,0.8753,0.091,0.0875,0.8225,2
2015-10-15,0.0165,0.1162,0.4415,0.2347,-0.8758,0.1328,0.0717,0.162,0.767,3
2015-10-16,-0.0424,0.0518,0.3878,0.0094,-0.9372,0.0568,0.0835,0.107,0.81,2
2015-10-17,0.1625,0.2298,0.3375,0.4773,-0.6202,0.1906,0.02,0.183,0.797,2
2015-10-19,-0.1064,0.2208,0.4018,0.077,-0.7619,0.2688,0.004,0.06,0.936,2
2015-10-20,-0.0358,0.1249,0.3549,0.0533,-0.6858,0.308,0.0458,0.158,0.7962,4
2015-10-21,0.0902,0.0192,0.3527,0.0287,0.0651,1.1093,0.0435,0.0395,0.917,2
2015-10-22,-0.0272,0.1118,0.3897,0.0385,-0.2762,0.9014,0.055,0.052,0.892,2
2015-10-23,0.0237,0.0304,0.4396,0.0473,-0.6226,0.454,0.0427,0.0772,0.88,4
2015-10-25,-0.0333,,0.3,,-0.5719,,0.025,0.109,0.866,1
2015-10-26,-0.0098,0.255,0.5834,0.2113,0.4958,0.4251,0.111,0.076,0.813,4
2015-10-27,0.071,0.1929,0.373,0.1307,0.2348,0.7379,0.0463,0.0297,0.924,3
2015-10-28,0.0488,0.0654,0.4339,0.1037,0.2215,0.8417,0.062,0.0647,0.8733,3
2015-10-29,-0.0479,0.083,0.5104,0.5003,-0.2763,0.6641,0.043,0.089,0.868,3
2015-10-30,0.0812,0.1407,0.2587,0.2505,-0.1929,0.7057,0.0677,0.0483,0.884,3
2015-10-31,0.0938,,0.3938,,0.5423,,0.102,0.057,0.841,1
2015-11-01,-0.0245,0.0727,0.2964,0.032,-0.2706,0.7363,0.069,0.065,0.866,2
2015-11-02,0.0184,0.0605,0.3725,0.0693,0.434,0.4161,0.0785,0.0592,0.8625,4
2015-11-03,0.0192,0.0803,0.3557,0.0915,-0.8243,0.1963,0.0135,0.062,0.9245,2
2015-11-04,-0.1589,,0.5228,,0.4221,,0.112,0.088,0.8,1
2015-11-05,0.0,,0.0,,-0.765,,0.0,0.153,0.847,1
2015-11-06,0.0253,0.0296,0.4304,0.1779,0.4761,0.7282,0.0957,0.0547,0.8497,3
2015-11-07,0.075,0.1984,0.3912,0.2979,0.0389,0.6388,0.08,0.0877,0.8323,3
2015-11-08,0.0,0.0,0.0375,0.053,-0.0897,0.413,0.046,0.0645,0.8895,2
2015-11-09,-0.042,,0.3462,,0.7875,,0.086,0.057,0.857,1
2015-11-10,0.0867,0.0754,0.4586,0.0192,-0.4308,0.7725,0.047,0.044,0.909,2
2015-11-11,0.1385,0.2833,0.3606,0.2191,-0.2635,0.8748,0.084,0.0697,0.8453,3
2015-11-13,-0.0194,,0.4257,,-0.9403,,0.016,0.119,0.865,1
2015-11-14,-0.0207,0.0292,0.4692,0.1922,-0.6858,0.0071,0.0345,0.0965,0.869,2
2015-11-16,0.0785,0.0702,0.1921,0.1817,0.0601,0.3919,0.044,0.0477,0.9083,3
2015-11-17,0.089,0.0793,0.3443,0.1047,-0.3124,0.7858,0.0828,0.1098,0.8078,4
2015-11-18,-0.0194,,0.5139,,0.3127,,0.029,0.0,0.971,1
2015-11-21,0.0177,0.0824,0.3104,0.2182,0.1806,0.8716,0.0695,0.1268,0.804,4
2015-11-22,0.0,,0.1333,,-0.34,,0.087,0.11,0.803,1
2015-11-23,0.0,,0.0,,-0.4404,,0.0,0.126,0.874,1
2015-11-24,-0.0057,0.1244,0.5518,0.0916,-0.029,0.961,0.093,0.067,0.84,3
2015-11-25,-0.0023,0.0515,0.4084,0.1427,-0.1124,0.749,0.0587,0.0887,0.853,3
2015-11-27,0.0,,0.3,,0.0,,0.0,0.0,1.0,1
2015-11-28,0.0811,,0.233,,0.0676,,0.096,0.124,0.78,1
2015-12-01,0.0729,0.0875,0.3754,0.093,0.2009,0.9909,0.09,0.0753,0.8347,3
2015-12-02,-0.0601,0.1332,0.4006,0.1431,-0.6817,0.3194,0.0422,0.0785,0.879,4
2015-12-03,-0.0295,0.0593,0.367,0.0644,-0.2112,0.1534,0.077,0.11,0.813,2
2015-12-04,-0.0614,0.034,0.3172,0.0967,-0.8192,0.2875,0.033,0.088,0.8793,3
2015-12-05,-0.0701,0.0776,0.266,0.1542,-0.5728,0.2993,0.0425,0.099,0.859,2
2015-12-07,-0.0167,0.0632,0.2489,0.0533,0.0688,0.9588,0.079,0.0633,0.8577,3
2015-12-08,-0.0045,,0.1869,,-0.8825,,0.017,0.082,0.901,1
2015-12-09,0.25,,0.5,,0.4767,,0.11,0.04,0.85,1
2015-12-11,-0.0225,,0.2655,,-0.2411,,0.077,0.074,0.849,1
2015-12-12,0.0425,0.1468,0.3976,0.0578,-0.0121,0.8347,0.0807,0.0733,0.8463,3
2015-12-13,0.0009,,0.4473,,0.975,,0.093,0.06,0.846,1
2015-12-14,-0.0318,0.0829,0.2385,0.2212,-0.7513,0.3945,0.0487,0.1217,0.83,3
2015-12-15,-0.0121,,0.5943,,-0.0299,,0.026,0.028,0.947,1
2015-12-17,-0.1167,,0.1167,,0.8362,,0.089,0.038,0.872,1
2015-12-18,0.26,,0.3667,,0.8081,,0.174,0.065,0.76,1
2015-12-19,-0.0192,0.1891,0.4722,0.2367,-0.1386,0.9116,0.077,0.079,0.844,3
2015-12-20,0.0494,0.0462,0.3708,0.2794,0.2512,0.8298,0.1158,0.0602,0.8238,4
2015-12-21,-0.0396,0.056,0.2577,0.3644,-0.665,0.3478,0.0675,0.097,0.8355,2
2015-12-23,0.0559,0.0858,0.3162,0.1777,0.0514,0.5505,0.0525,0.0522,0.8955,6
2015-12-24,-0.0198,0.0338,0.333,0.0911,-0.6385,0.2295,0.0305,0.0515,0.9175,2
2015-12-26,0.1062,,0.2708,,0.6486,,0.106,0.074,0.82,1
2015-12-28,-0.1951,0.0776,0.3729,0.0383,0.6562,0.332,0.093,0.0415,0.8655,2
2015-12-29,0.0063,0.1954,0.5212,0.2539,-0.7745,0.1679,0.0165,0.0715,0.912,2
2015-12-30,-0.1102,0.0145,0.2951,0.0166,-0.8622,0.0977,0.0195,0.1345,0.846,2
2015-12-31,-0.3504,0.6369,0.4714,0.0404,-0.0137,1.189,0.073,0.076,0.851,2
2016-01-02,-0.1361,,0.3306,,0.1633,,0.039,0.027,0.934,1
2016-01-05,-0.0354,0.1156,0.3958,0.1768,-0.5822,0.5107,0.0363,0.156,0.8077,3
2016-01-06,-0.0551,0.0791,0.3444,0.1057,-0.4495,0.9084,0.0648,0.092,0.8438,4
2016-01-07,0.0991,0.0871,0.5098,0.1301,-0.3198,0.0337,0.0855,0.104,0.81,2
2016-01-08,0.0084,0.0251,0.5299,0.0349,-0.6616,0.3147,0.0685,0.115,0.8165,2
2016-01-10,0.0072,0.0423,0.2697,0.2337,-0.5527,0.4081,0.0303,0.0677,0.9023,3
2016-01-11,-0.101,,0.4531,,-0.9758,,0.042,0.149,0.809,1
2016-01-12,-0.05,0.0707,0.05,0.0707,-0.383,0.6146,0.063,0.148,0.7885,2
2016-01-13,0.086,0.0855,0.5918,0.1177,0.0752,1.2405,0.0815,0.0815,0.837,2
2016-01-14,0.0425,0.0513,0.3458,0.218,-0.2997,0.4238,0.0115,0.026,0.9625,2
2016-01-15,-0.0483,0.0085,0.4101,0.0645,-0.9681,0.0259,0.0535,0.0935,0.853,2
2016-01-16,0.0583,,0.4,,-0.78,,0.104,0.193,0.703,1
2016-01-17,-0.0181,,0.458,,-0.9187,,0.026,0.066,0.909,1
2016-01-18,-0.0164,0.1183,0.2395,0.1973,0.5337,0.0251,0.089,0.077,0.834,2
2016-01-20,0.0964,0.2011,0.4255,0.0891,0.6275,0.3619,0.0795,0.029,0.892,2
2016-01-21,0.1667,,0.3667,,-0.7506,,0.0,0.15,0.85,1
2016-01-23,0.0463,0.0655,0.2037,0.288,0.0765,1.1902,0.05,0.071,0.8795,2
2016-01-24,0.0925,0.0853,0.4746,0.0798,-0.7754,0.3411,0.0467,0.15,0.8033,3
2016-01-25,-0.0707,0.1897,0.3137,0.2029,-0.0562,0.7363,0.0557,0.0483,0.896,3
2016-01-26,-0.0281,0.0762,0.4506,0.0577,-0.0383,0.9738,0.0598,0.094,0.8462,4
2016-01-27,0.0012,0.0915,0.3267,0.1419,-0.1637,0.6213,0.043,0.0498,0.9072,5
2016-01-28,-0.0151,0.1863,0.4308,0.1046,-0.4038,0.6216,0.0363,0.0692,0.8947,6
2016-01-29,-0.023,0.0989,0.4686,0.0436,-0.3174,1.0926,0.061,0.0707,0.868,3
2016-01-30,-0.006,,0.5603,,-0.4019,,0.072,0.12,0.808,1
2016-02-01,-0.5,,0.5,,0.0,,0.0,0.0,1.0,1
2016-02-02,-0.1167,,0.675,,0.4796,,0.084,0.059,0.857,1
2016-02-03,-0.0648,0.0584,0.3121,0.0909,-0.6299,0.3568,0.0383,0.08,0.882,3
2016-02-04,-0.0549,,0.5953,,-0.6908,,0.025,0.087,0.888,1
2016-02-05,-0.1549,0.2989,0.526,0.4334,-0.8667,0.0936,0.026,0.1513,0.8223,3
2016-02-08,0.0713,0.1762,0.3061,0.0916,-0.0611,0.669,0.0527,0.0673,0.88,3
2016-02-09,-0.0096,0.0247,0.3512,0.072,-0.7744,0.0672,0.0525,0.0795,0.868,2
2016-02-11,-0.0086,,0.3794,,-0.066,,0.068,0.088,0.844,1
2016-02-12,0.02,0.0283,0.2451,0.3467,-0.3644,0.8563,0.0855,0.062,0.8525,2
2016-02-13,0.0154,,0.5507,,0.9743,,0.125,0.072,0.803,1
2016-02-14,0.0969,,0.4877,,0.8131,,0.147,0.112,0.742,1
2016-02-16,-0.0829,0.2879,0.4773,0.1289,-0.4306,0.9621,0.0333,0.1393,0.8273,3
2016-02-17,0.0824,0.1545,0.5241,0.1253,-0.2924,0.7818,0.0482,0.0726,0.8792,5
2016-02-19,0.0064,0.1438,0.4146,0.1558,-0.248,0.7371,0.0524,0.0958,0.8518,5
2016-02-20,0.0259,0.0828,0.4735,0.1348,-0.0709,1.201,0.105,0.114,0.781,2
2016-02-21,0.0181,,0.3974,,-0.9648,,0.071,0.117,0.812,1
2016-02-22,0.0,,0.0,,-0.296,,0.0,0.104,0.896,1
2016-02-23,0.0463,0.0052,0.3165,0.1765,0.3712,0.706,0.0945,0.0905,0.815,2
2016-02-24,0.0188,0.327,0.3104,0.0324,-0.3774,0.1151,0.0,0.1475,0.8525,2
2016-02-25,0.1224,0.1097,0.2989,0.0187,-0.3919,0.1679,0.008,0.0305,0.962,2
2016-02-26,0.0476,0.059,0.3519,0.2047,-0.3339,0.9173,0.076,0.11,0.8135,2
2016-03-01,-0.0714,,0.5143,,-0.9674,,0.047,0.148,0.805,1
2016-03-02,-0.055,0.0568,0.2509,0.0773,-0.6853,0.1429,0.032,0.0703,0.8977,3
2016-03-03,-0.0524,0.1066,0.3675,0.027,-0.3845,0.515,0.05,0.158,0.792,3
2016-03-05,-0.1469,0.0672,0.4327,0.0729,-0.455,0.4825,0.0497,0.1083,0.8417,3
